speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Skylar Tibbits,Inventor,"Skylar Tibbits, a TED Fellow, is an artist and computational architect working on ""smart"" components that can assemble themselves.","Why you should listen
Can we create objects that assemble themselves -- that zip together like a strand of DNA or that have the ability for transformation embedded into them? These are the questions that Skylar Tibbits investigates in his Self-Assembly Lab at MIT, a cross-disciplinary research space where designers, scientists and engineers come together to find ways for disordered parts to become ordered structures.   A trained architect, designer and computer scientist, Tibbits teaches design studios at MIT’s Department of Architecture and co-teaches the seminar “How to Make (Almost) Anything” at MIT’s Media Lab. Before that, he worked at a number of design offices including Zaha Hadid Architects, Asymptote Architecture, SKIII Space Variations and Point b Design. His work has been shown at the Guggenheim Museum and the Beijing Biennale.   Tibbits has collaborated with a number of influential people over the years, including Neil Gershenfeld and The Center for Bits and Atoms, Erik and Marty Demaine at MIT, Adam Bly at SEED Media Group and Marc Fornes of THEVERYMANY. In 2007, he and Marc Fornes co-curated Scriptedbypurpose, the first exhibition focused exclusively on scripted processes within design. Also in 2007, he founded SJET, a multifaceted practice and research platform for experimental computation and design. SJET crosses disciplines from architecture and design, fabrication, computer science and robotics.
What others say

“The big idea is to create objects that can change after they are printed, making them self-adapting. The act of printing is no longer the end of the creative process but merely a waypoint.” — Wired UK",undetected,5,0,3,male
Kate Hartman,Artist and technologist,"Kate Hartman creates devices and interfaces for humans, houseplants, and glaciers. Her work playfully questions the ways in which we relate and communicate.","Why you should listen
Kate Hartman, Professor of Wearable and Mobile Technology at the Ontario College of Art and Design, uses simple, open-source technology to build objects and do-it-yourself kits, such as her Inflatable Heart or Glacier Embracing Suit -- that allow for new modes of expression and communication.She is the co-creator of Botanicalls, a system for letting plants tweet and call their owners when they need watering, or more sunlight. Aways mixing the whimsical with the thought provoking, Hartman and her work raise key questions about how we communicate with our environment, and with ourselves.
What others say

“You didn't water me enough.” — Tweet by @pothos, Feb. 4 2011",undetected,0,3,2,female
Vijay Kumar,Roboticist,"As the dean of the University of Pennsylvania's School of Engineering and Applied Science, Vijay Kumar studies the control and coordination of multi-robot formations.","Why you should listen
At the General Robotics, Automation, Sensing and Perception (GRASP) Lab at the University of Pennsylvania, flying quadrotor robots move together in eerie formation, tightening themselves into perfect battalions, even filling in the gap when one of their own drops out. You might have seen viral videos of the quads zipping around the netting-draped GRASP Lab (they juggle! they fly through a hula hoop!). Vijay Kumar headed this lab from 1998-2004. He's now the dean of the School of Engineering and Applied Science at the University of Pennsylvania in Philadelphia, where he continues his work in robotics, blending computer science and mechanical engineering to create the next generation of robotic wonders.",undetected,2,0,3,male
Susan Cain,Quiet revolutionary,"Our world prizes extroverts—but Susan Cain makes a case for the quiet and contemplative. She reaches millions of people through her books, podcasts and her mission-based organization, Quiet Revolution, which empowers introverts for the benefit of everyone.","Why you should listen
Susan Cain is a former corporate lawyer and negotiations consultant -- and a self-described introvert. At least one-third of the people we know are introverts, notes Cain in her book QUIET: The Power of Introverts in a World That Can't Stop Talking. Although our culture undervalues them dramatically, introverts have made some of the great contributions to society -- from Chopin's nocturnes to the invention of the personal computer to Ghandi's transformative leadership. Cain argues that we design our schools, workplaces and religious institutions for extroverts, and that this bias creates a waste of talent, energy and happiness. Based on intensive research in psychology and neurobiology and on prolific interviews, she also explains why introverts are capable of great love and great achievement, not in spite of their temperament -- but because of them.  In 2015 Susan Cain announced the launch of her mission-based organization Quiet Revolution that aims to change the lives of introverts by empowering them with the information, tools and resources they need to survive and thrive.  In the workplace, companies are not fully harnessing the talents of their introverted employees and leadership teams are often imbalanced with many more extroverts than introverts. The Quiet Leadership Institute has worked with companies from LinkedIn to GE to Procter and Gamble to help them achieve their potential by providing learning experiences that unlock the power of introverts.  At the heart and center of the Quiet Revolution is empowering the next generation of children to know their own strengths and be freed from the sense of inadequacy that has shadowed the children of previous generations. Susan's second book, Quiet Power, is written for teens and young adults but also serves as a tool for teachers and parents. In addition, Susan has created a portal and a online learning experience for the parents of quiet children and has also established the Quiet Schools Network. Susan's podcast, Quiet: The Power of Introverts debuted in February 2016 as a 10-part series designed to give parents and teachers the tools they need to empower quiet kids.  Susan and the Quiet Revolution have received numerous accolades and press including Fortune magazine, The New York Times, NPRand many more.",undetected,0,6,10,female
Liz Diller,Designer,"Liz Diller and her maverick firm DS+R bring a groundbreaking approach to big and small projects in architecture, urban design and art — playing with new materials, tampering with space and spectacle in ways that make you look twice.","Why you should listen
Liz Diller's firm, Diller Scofidio & Renfro, might just be the first post-wall architects. From a mid-lake rotunda made of fog to a gallery that destroys itself with a robotic drill, her brainy takes on the essence of buildings are mind-bending and rebellious. DS+R partakes of criticism that goes past academic papers and into real structures -- buildings and art installations that seem to tease the squareness of their neighbors.DS+R was the first architecture firm to receive a MacArthur ""genius"" grant -- and it also won an Obie for Jet Lag, a wildly creative piece of multimedia off-Broadway theater. A reputation for rampant repurposing of materials and tricksy tinkering with space -- on stage, on paper, on the waterfront -- have made DS+R a sought-after firm, winning accounts from the Juilliard School, Alice Tully Hall and the School of American Ballet, as part of the Lincoln Center overhaul; at Brown University; and on New York's revamp of Governer's Island. Their Institute for Comtemporary Art has opened up a new piece of Boston's waterfront, creating an elegant space that embraces the water. Learn more about the Hirshhorn Museum >> ",undetected,0,2,2,female
Sugata Mitra,Education researcher,"Educational researcher Sugata Mitra is the winner of the 2013 TED Prize. His wish: Build a School in the Cloud, where children can explore and learn from one another.","Why you should listen
In 1999, Sugata Mitra and his colleagues dug a hole in a wall bordering an urban slum in New Delhi, installed an Internet-connected PC and left it there, with a hidden camera filming the area. What they saw: kids from the slum playing with the computer and, in the process, learning how to use it -- then teaching each other. These famed “Hole in the Wall” experiments demonstrated that, in the absence of supervision and formal teaching, children can teach themselves and each other -- if they’re motivated by curiosity. Mitra, now a professor of educational technology at Newcastle University, called it ""minimally invasive education.""Mitra thinks self-organized learning will shape the future of education. At TED2013, he made a bold TED Prize wish: Help me build a School in the Cloud where children can explore and learn on their own -- and teach one another -- using resouces from the worldwide cloud. The School in the Cloud now includes seven physical locations -- five in India and two in the UK. At the same time, the School in the Cloud online platform lets students participate anywhere, with partner learning labs and programs in countries like Colombia, Pakistan and Greece. In 2016, Mitra held the first School in the Cloud conference in India. He shared that more than 16,000 SOLE sessions had taken place so far, with kids all around the world dipping their toes in this new education model.
What others say

“Mitra argues that the information revolution has enabled a style of learning that wasn’t possible before.” — Wired",undetected,4,0,3,male
Judy MacDonald Johnston,Entrepreneur,"By day, Judy MacDonald Johnston develops children's reading programs. By night, she helps others maintain their quality of life as they near death.","Why you should listen
Judy MacDonald Johnston is the Publisher and Cofounder of Blue Lake Children's Publishing, which develops educational reading tools for preschoolers through a program called the Tessy and Tab Reading Club. Johnston's credo, ""love words early,"" and her focus on the earliest years of life, is an interesting foil for her other passion: Planning for end of life. Johnston's side project, Good [End of] Life, deals not with happy babies decoding symbols, but with a much more morbid topic: Death. Good [End of] Life is a set of online worksheets and practices that aim to help deal with difficult questions -- like who should speak for you if you cannot speak, and whether to fill out a do-not-resuscitate form -- before it's too late.In the past 15 years alone Johnston has founded two other companies in addition to Blue Lake Children's Publishing: PrintPaks, a children's software company, and Kibu, a social networking site for teenage girls. Previously Johnston was a Worldwide Project Marketing Manager at Hewlett Packard.
What others say

“[Johnston]’s leveraged every single advantage she’s been given into creating a hundred times that for others, never holding tight to wisdom or resources, but investing them where they’ll do the most good next.” — from 50-for-50",undetected,0,3,3,female
Denise Herzing,Dolphin researcher,"Denise Herzing has spent almost three decades researching and communicating with wild dolphins in their natural setting and on their own terms. The book ""Dolphin Diaries"" tells her remarkable story.","Why you should listen
What better way to study an animal than in its natural habitat? Since 1985, Denise Herzing has been doing just that, spending each summer observing a pod of Atlantic spotted dolphins that live in the Bahamas as part of the Wild Dolphin Project. The work allows Herzing to better understand the pod's social structure, behavior, communication and habitat outside the confines of an aquarium or research facility. Perhaps most remarkable is Herzing’s collaborative effort to design, build and use an interactive device to let humans communicate with the free-ranging dolphins. The 2011 book Dolphin Diaries  tells her remarkable story.
What others say

“On certain moonlit nights along the Bahamas coral reefs, you may see Denise gracefully swimming her way out to sea.” — Ralph Helfer, Dolphin Diaries",undetected,0,3,2,female
Sleepy Man Banjo Boys,Bluegrass musicians,"The Sleepy Man Banjo Boys is made up of 11-year-old banjo sensation Jonny Mizzone and his brothers Robbie, 14, on fiddle, and Tommy, 15, on guitar.","Why you should listen
These days your kid can get famous on YouTube for having water sprayed at him, for being duped about his Halloween candy, and for being high off laughing gas. But what if your 8-year-old gets famous on the Internet for being an absolute genius on the banjo? So goes the story of Jonny Mizzone, who first became a YouTube sensation in early 2011 for videos of him and his brothers tearing it up playing Earl Scruggs's Flint Hill Special. It wasn't long before the press started calling.  Now Jonny, Robbie (fiddle) and Tommy (guitar), known as the Sleepy Man Banjo Boys, are 11, 14 and 15 respectively. In 2011 alone they got calls from The Ellen DeGeneres Show, Jimmy Kimmel Live and The Tonight Show with Jay  Leno, and in the summer of 2011 they appeared as musical guests on  The Late Show with David Letterman and NBC’s Today Show. While the trio grew up in New Jersey -- which is known more for rock music than for bluegrass -- they fell in love with the unique sounds of J.D. Crowe, Ralph Stanley, Clarence White and Earl Scruggs after some creative YouTube searching. Now, having become sensations on the platform themselves, the trio has accumulated more than 17 million video views. Their first album, America’s Music, was released in September 2011 and charted top eight on the Billboard Bluegrass Album Chart. In October 2012 they released their second album, The Farthest Horizon, which cracked the top three. The group is already at work on their next album.   ",undetected,5,0,7,they (group male)
Larry Page,CEO of Google,"Larry Page is the CEO and cofounder of Google, making him one of the ruling minds of the web. ","Why you should listen
Larry Page and Sergey Brin met in grad school at Stanford  in the mid-'90s, and in 1996 started working on a search technology based on a new idea: that relevant results come from context. Their technology analyzed the number of times a given website was linked to by other sites — assuming that the more links, the more relevant the site — and ranked sites accordingly. In 1998, they opened Google in a garage-office in Menlo Park. In 1999 their software left beta and started its steady rise to web domination. Beyond the company's ubiquitous search, including AdSense/AdWords, Google Maps, Google Earth and the mighty Gmail. In 2011, Page stepped back into his original role of chief executive officer. He now leads Google with high aims and big thinking, and finds time to devote to his projects like Google X, the idea lab for the out-there experiments that keep Google pushing the limits. ",undetected,4,0,3,male
Kitra Cahana,Vagabond photojournalist + conceptual artist,Kitra Cahana is a Canadian photographer who blurs the line between anthropologist and journalist.,"Why you should listen
Kitra Cahana  is a wanderer. The American-born photographer was raised in Canada and Sweden, with a father who worked as a rabbi and took his family along with him everywhere he traveled. Cahana's itinerant childhood is evident in her work, which has taken her to teenage ""rainbow parties,""  Venezuelan spiritual rituals, Ukranian Ultra-Orthodox prayer sites, American boxcars and bus stops and many more places. The 2014 TED Fellow embeds herself in the societies she documents, playing the part of photojouralist as well as enthnographer.",undetected,3,4,0,female
Janet Iwasa,Molecular animator,,"Why you should listen
While we know a lot about molecular processes, they can’t be observed directly, and scientists have to rely on simple, two-dimensional drawings to depict complex hypotheses. That is, they did until now. Janet Iwasa’s colorful and action-packed 3D animations bring scientific hypotheses to life, showing how we think molecules look, move and interact. Not only is molecular animation a powerful way to illustrate ideas and convey information to general audiences, it’s also a powerful tools for inspiring new research. However, 3D molecular animation using commercial software requires skill and time, so Iwasa has created a simpler 3D animation software tool for biologists, allowing researchers to intuitively and quickly model molecular hypotheses. In 2014, she launched the beta of her new free, open-source animation software, Molecular Flipbook, which allows biologists to create molecular animations of their own hypotheses in just 15 minutes.",undetected,0,2,3,female
Eman Mohammed,Photojournalist,Eman Mohammed is a Palestinian photojournalist.,"Why you should listen
Eman Mohammed has worked as a reporter and photojournalist in Gaza since the age of nineteen. Since she began reporting in 2006, the Saudi-born TED Fellow has shifted her focus from the Israeli/Palestinian conflict to women's issues in the Gaza Strip. As one of the few female photojournalists based in the region, Mohammed regularly faces discrimination, sexual harassment and open spite for what's seen as her audacity to join a men's field. Mohammed believes this can change for future generations of Gazan women. She says of raising her daughters, ""Everything comes with a reason. They have the right to ask questions and do with whatever they wish or like, as long as it’s not hurting them or others.""",undetected,0,5,3,female
Sophie Scott,"Neuroscientist, stand-up comic","While exploring the neuroscience of speech and vocal behavior, Sophie Scott stumbled upon a surprising second vocation: making audiences laugh as a stand-up comic.","Why you should listen
   As deputy director of the University College London’s Institute of Cognitive Neuroscience, Sophie Scott seeks out the neurological basis of communication, whether it’s speech or vocalized emotion.     As a pioneering researcher in the science of laughter, she’s made some unexpected discoveries -- including that rats are ticklish, and that the one tactic that’s almost guaranteed to get someone to laugh is to show them someone else laughing. But as an occasional stand-up comedian with UCL’s Bright Club, she shows that she’s no slouch at getting laughs herself.
What others say

““For Scott, laughter is more than displaying amusement -- it's a primal way of showing people that we like them and want them to like us.” ” — CNN.com, October 15, 2013",undetected,0,2,3,female
Chris Burkard,Surf photographer,"Chris Burkard travels to remote, risky and often icy locations to capture stunning images that turn traditional surf photography on its head.","Why you should listen
   For most people, surfing evokes sunny sand and warm, blue water in tropical locales. In his book Distant Shores, self-taught photographer Chris Burkard detours to the coastlines of Norway, Iceland and Alaska, shooting surfers as they ride waves on icy beaches that have rarely been photographed -- let alone surfed.     Traveling to often dangerous extremes to discover unknown landscapes, Burkard composes images that transcend the simple action shots of action photography, placing nature at the center of his compositions.
What others say

“While most surf photographers stick to popular warm-water paradises, SURFER Photographer Chris Burkard has taken a different path. By focusing on eccentric landscapes mixed with surf action, Burkard’s images of wild, remote, and often cold-water destinations don’t fit the standard mold, and they always stun the viewer.  ” — Surfer magazine blog, March 25, 2014",undetected,2,0,2,male
Alexander Betts,Social scientist,Alexander Betts explores ways societies might empower refugees rather than pushing them to the margins.,"Why you should listen
        In media and in public debate, refugees are routinely portrayed as a burden. Professor Alexander Betts argues that refugees, who represent a wide spectrum of professional backgrounds, are in fact an untapped resource that could benefit nations willing to welcome them into their economies.  Betts is the director of the Refugee Studies Centre at the University of Oxford, where he spearheads research on refugee and other forced migrant populations. His book, Survival Migration, explores the predicaments of people who are fleeing disaster yet fall outside legal definitions of refugee status.",undetected,2,0,3,male
Angélica Dass,Artist and photographer,"By cataloging every conceivable human skin tone, Angélica Dass illustrates that skin color and race are more complex than they might appear at first glance.","Why you should listen
        As a member of a multi­racial family, Brazilian artist Angélica Dass is acutely aware of how small differences in skin tone can swell into large misconceptions and stereotypes about race. In her ongoing project Humanæ, Dass pairs thousands of portraits of people from diverse parts of the world with their Pantone codes, revealing that our racially­ charged skin color labels --­­ red, white, brown --­­ as not only inaccurate but also absurd. Instead, she shows us that ""these colors make us see each other as different, even though we are equal.""
What others say

“Humanae invites people to think about skin color in new and unique ways.” — 1839 Mag, December 21, 2015",undetected,0,2,2,female
Jennifer Kahn,Science journalist,"In articles that span the gene-editing abilities of CRISPR, the roots of psychopathic behavior in children, and much more, Jennifer Kahn weaves gripping stories from unlikely sources.","Why you should listen
Jennifer Kahn likes to seek out complex stories, with the goal of illuminating their nuances.  She teaches in the magazine program at the UC Berkeley Graduate School of Journalism, and is a contributing writer for the New York Times Magazine; she has written features and cover stories for The New Yorker, National Geographic, Outside, Wired and many more.   Her work has appeared in the Best American Science Writing anthology series four times, most recently for the New Yorker story “A Cloud of Smoke,” a story on the complicated death of a policeman after 9/11.
What others say

“Amid family scenes that are no less heartbreaking than they are chilling, Kahn weaves in a nuanced discussion of the thorny questions that confront scientists trying to understand how psychopathy develops.” — from “Can You Call a 9-Year-Old a Psychopath?” August 2, 2012",undetected,0,3,2,female
Courtney E. Martin,Journalist,Courtney E. Martin’s work has two obsessions at its core: storytelling and solutions.,"Why you should listen
In her upcoming book, The New Better Off, Courtney E. Martin explores how people are redefining the American dream with an eye toward fulfillment. Martin is a columnist for On Being,  and the cofounder of the Solutions Journalism Network, Valenti Martin Media, and FRESH Speakers, as well as a strategist for the TED Prize and an editor emeritus at Feministing.com.   In her previous book Do It Anyway: The New Generation of Activists, she proﬁled eight young people doing social justice work, a fascinating look at the generation of world-changers who are now stepping up to the plate.
What others say

“In times of great disruption we are forced to question everything. Courtney Martin has taken this to heart and challenges us to reassess, rethink, and reinvent the very notion of what a ‘good life’ might be. The New Better Off is an invaluable source of insight and inspiration for those wishing to embark on one of post consumer society’s most important projects.” — Tim Brown",undetected,0,3,2,female
Raj Panjabi,Physician,A billion people around the world lack access to health care because they live too far from a clinic. 2017 TED Prize winner Raj Panjabi aims to extend health services to the last mile.,"Why you should listen
Raj Panjabi was nine when civil war broke out in his native country, Liberia. His family resettled in High Point, North Carolina, but he returned to Liberia as a medical student in 2005. He was shocked to find a health care system in total devastation. Only 50 doctors remained to treat a population of four million.  With a team of Liberian civil war survivors, American health workers and $6,000 he'd received as a wedding gift, Panjabi co-founded Last Mile Health. The organization saves lives in the world's most remote communities by partnering with governments to deploy, sustain and manage national networks of community health professionals. They currently support the Government of Liberia's deployment of more than 4,000 health workers to provide life-saving healthcare to 1.2 million people and protect against the next epidemic. Last Mile Health's network of community health workers can be leveraged in a crisis -- in the fight against Ebola, the organization aided government response by training health workers in southeastern Liberia.Panjabi is a physician in the Division of Global Health Equity at Harvard Medical School, Brigham and Women's Hospital. He is a recipient of the Skoll Award for Social Entrepreneurship and was named to TIME's list of the ""100 Most Influential People in the World"" in 2016. As the winner of the 2017 TED Prize, Panjabi is creating the Community Health Academy, a global platform to train, connect and empower community health workers. The Academy aims to reinvent the education of community health workers -- and the leaders who support them -- for the digital age.",undetected,5,0,3,male
Marc Raibert,Roboticist,Marc Raibert is the founder and CEO of robot maker Boston Dynamics.,"Why you should listen
Working with his team at Boston Dynamics, Marc Raibert builds some of the world's most advanced robots, such as BigDog, Atlas, Spot and Handle. These robots are inspired by the remarkable ability of animals to move with agility, dexterity, perception and intelligence. A key ingredient of these robots is their dynamic behavior, which contributes to their lifelike qualities and their effectiveness in the real world. Raibert founded Boston Dynamics as a spinoff from MIT, where he ran the Leg Laboratory, which helped establish the scientific basis for highly dynamic robots. He was a professor of EE&CS at MIT and before that associate professor of CS & Robotics at Carnegie Mellon University. Raibert is a member of the National Academy of Engineering.",undetected,3,0,3,male
Titus Kaphar,Artist,Titus Kaphar's artworks interact with the history of art by appropriating its styles and mediums.,"Why you should listen
As Titus Kaphar says of his work: ""I’ve always been fascinated by history: art history, American history, world history, individual history -- how history is written, recorded, distorted, exploited, reimagined and understood. In my work I explore the materiality of reconstructive history. I paint and I sculpt, often borrowing from the historical canon, and then alter the work in some way. I cut, crumple, shroud, shred, stitch, tar, twist, bind, erase, break, tear and turn the paintings and sculptures I create, reconfiguring them into works that nod to hidden narratives and begin to reveal unspoken truths about the nature of history."" Kaphar is founder/CEO of the NXTHVN, a multidisciplinary arts incubator that's being built to train professional artists and to further establish New Haven's growing creative community. His latest works are an investigation into the highest and lowest forms of recording history. From monuments to mug shots, this body of work exhibited at Jack Shainman gallery December-January 2017 seeks to collapse the line of American history to inhabit a fixed point in the present. Historical portraiture, mug shots, and YouTube stills challenge viewers to consider how we document the past, and what we have erased. Rather than explore guilt or innocence, Kaphar engages the narratives of individuals and how we as a society manage and define them over time. As a whole, this exhibition explores the power of rewritten histories to question the presumption of innocence and the mythology of the heroic.",undetected,2,0,2,male
Mei Lin Neo,Marine biologist,"TED Fellow Mei Lin Neo is helping giant clams step out of their shells and show the world that they can be the heroes of the oceans, too.","Why you should listen
Dr. Mei Lin Neo is a research fellow at the St. John's Island National Marine Laboratory , having started her research work on the giant clams since 2006. Her current research expertise lies in the mariculture of giant clams, experimental marine ecology and marine conservation. Neo is also a TED Fellow and an advocate for science communication as a voice for the conservation of giant clams. Outside of research, she actively volunteers in local conservation groups to promote marine conservation messages and educate fellow volunteers.",undetected,0,3,2,female
Neil Gershenfeld,Physicist,"As Director of MIT’s Center for Bits and Atoms, Neil Gershenfeld explores the boundaries between the digital and physical worlds.","Why you should listen
MIT's Neil Gershenfeld is redefining the boundaries between the digital and analog worlds. The digital revolution is over, Gershenfeld says. We won. What comes next? His Center for Bits and Atoms has developed quite a few answers, including Internet 0, a tiny web server that fits into lightbulbs and doorknobs, networking the physical world in previously unimaginable ways.
But Gershenfeld is best known as a pioneer in personal fabrication -- small-scale manufacturing enabled by digital technologies, which gives people the tools to build literally anything they can imagine. His famous Fab Lab is immensely popular among students at MIT, who crowd Gershenfeld's classes. But the concept is potentially life-altering in the developing world, where a Fab Lab with just $20,000 worth of laser cutters, milling machines and soldering irons can transform a community, helping people harness their creativity to build tools, replacement parts and essential products unavailable in the local market. Read more in Fab: The Coming Revolution on Your Desktop.",undetected,2,0,2,male
